STATE,estuary,DLAT,DLONG,CONDITION,CLASSIFICATION,SUBCLASS,BARRIER_BACKBARRIER,CENTRAL_BASIN,FLUVIAL_BAYHEAD_DELTA,FLOOD_EBB_DELTA,INTERTIDAL_FLATS,MANGROVE,SALTMARSH_SALTFLAT,TIDAL_SANDBANKS,ROCKY_REEF,CORAL,CHANNEL,BEDROCK,FLOODPLAIN,BEDROCK_PERIMETER,PERIMETER,CATCHMENTAREA,WATERAREA,MAXLENGTH,MAXWIDTH,ENTLENGTH,ENTRANCEWIDTH,MEANWAVEHEIGHT,MEANWAVEPERIOD,MAXWAVEHEIGHT,MAXWAVEPERIOD,TIDALRANGE,TIDALTYPE
TAS,Yarra Creek,-40.009,144.108,modified,wave dominated,OTHER,0.00425,0.00879,,,,,,,,,0.01836,,,1.59218,,,,,,,,,,,,,
TAS,Yellow Rock River,-39.72,143.91,modified,wave dominated,OTHER,0.07678,,,0.03044,0.11775,,0.03586,,,,0.08864,,,,,,,,,,,,,,,,
VIC,Aire River,-38.807,143.461,modified,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,18.82,279,1.46,6.89,0.39,2.95,0.031,2.315,8.914,8,14.4,1,Diurnal
VIC,Anderson Creek,-38.755,143.656,largely unmodified,wave dominated,OTHER,,,,,,,,,,,,,,,0,,,,,,,,,,,,
VIC,Anderson Inlet,-38.65,145.721,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.4693,,0.83757,2.71268,13.25415,0.96114,5.58578,0.21311,,,7.7043,,,0.06494,82.4,1715,12.648,17.65,0.69,,1.54,1.541,8.508,5.3,14.8,2,Semi Diurnal
VIC,Anglesea River,-38.413,144.191,modified,river dominated,WAVE-DOMINATED DELTA,0.02066,,,0.01919,0.15637,,,,0.0258,,0.11086,,,,2.04,,0.045,0.94,0.082,,0.045,,,,,,
VIC,Barham River,-38.766,143.668,modified,wave dominated,STRANDPLAIN,0.01129,,,,0.14536,,,,,,0.13568,,,0.05223,0,,0,,,,,,,,,,
VIC,Barwon River,-38.286,144.501,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.3792,8.33747,0.48088,0.43088,1.91563,0.22153,11.98214,,1.12542,,2.02118,,,1.38428,75.06,4496,15,18.9,3.17,9.88,0.86,1.103,7.66,3.9,13.9,1.1,Semi Diurnal
VIC,Benedore River,-37.7,149.622,near pristine,wave dominated,OTHER,,,,,,,,,,,,,,,3.19,,0.064,1.46,0.1,,0.063,,,,,,
VIC,Betka River,-37.585,149.742,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,13.49,171,0.45,5.77,0.26,,0.085,1.391,6.721,5.1,11.6,1,Diurnal
VIC,Corner Inlet,-38.781,146.484,largely unmodified,tide dominated,OTHER,10.71301,,,10.81198,387.10413,18.59332,65.51435,6.89234,0.07687,,163.49541,,,78.06328,280.89,2106,377.6,22.14,21.57,3.59,1.89,0.34,4.78,1.2,10.5,2.3,Semi Diurnal
VIC,Cumberland River,-38.576,143.948,largely unmodified,wave dominated,OTHER,,,,,,,,,,,,,,,0,,0,,,,,,,,,,
VIC,Curdies Inlet,-38.608,142.883,modified,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,,1006,,,,,,2.291,8.906,8.1,14.6,0.9,Diurnal
VIC,Darby River,-38.989,146.268,largely unmodified,wave dominated,OTHER,,,,,,,,,,,,,,,0.26,,0.004,0.1,0.06,,0.013,,,,,,
VIC,Easby Creek,-37.741,149.522,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,0.01979,,,0.01414,0.0066,,0.00634,,,,0.04645,,,,2.1,,0.051,1.02,0.07,,0.075,,,,,,
VIC,Elliot River,-38.794,143.618,no assessment,wave dominated,OTHER,0.00503,,,,,,,,0.01774,,0.00834,,,,0,,0,,,,,,,,,,
VIC,Erskine River,-38.532,143.979,largely unmodified,wave dominated,STRANDPLAIN,0.00723,,,,0.028,0.04256,,,,,0.02529,,,,0,,0,,,,,,,,,,
VIC,Fitzroy River,-38.263,141.85,modified,wave dominated,STRANDPLAIN,0.0538,,,,0.20277,,,0.0259,0.02721,,0.57285,,,0.08011,8.38,1467,0.42,4.06,,,0.098,1.359,8.374,4.6,14.7,0.8,Diurnal
VIC,Gellibrand River,-38.707,143.157,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.011,0.07912,,0.03474,0.03161,,2.05052,,,,0.18932,,,,6.87,,0.24,3.14,0.29,0.32,0.081,,,,,,
VIC,Gippsland Lakes,-37.889,147.971,extensively modified,wave dominated,WAVE-DOMINATED ESTUARY,,,,,,,,,,,,,,,676.73,20449,485.56,98.35,8.92,15.04,0.36,0.522,5.789,2.2,12.2,0.9,Semi Diurnal
VIC,Glenelg River,-38.061,140.984,modified,wave dominated,WAVE-DOMINATED ESTUARY,0.05892,0.40564,,0.15887,0.74842,,0.66133,,0.05139,,0.66276,,,,37.58,11841,2.73,16.67,0.89,2.17,0.27,2.014,8.934,7,14.9,0.9,Diurnal
VIC,Grey River,-38.687,143.839,largely unmodified,wave dominated,OTHER,,,,,,,,,,,,,,,0,,0,,,,,,,,,,
VIC,Hopkins River,-38.399,142.509,modified,river dominated,WAVE-DOMINATED DELTA,0.04896,0.25273,,0.03891,0.4208,,0.30376,,,,1.32503,,,,,8984,,,,,,2.266,8.819,7.8,14.6,0.8,Diurnal
VIC,Jack Smith Lake,-38.497,147.04,near pristine,wave dominated,WAVE-DOMINATED ESTUARY,,1.27068,0.14518,0.91885,6.17077,,5.17006,,,,0.53759,,,,49.75,246,10.74,8.55,2.27,1.15,0.16,0.872,5.888,2.6,9.7,2,Semi Diurnal
VIC,Jamieson River,-38.596,143.919,largely unmodified,wave dominated,OTHER,0.02147,,,0.01896,0.02787,,,,,,0.03154,,,,0,,0,,,,,,,,,,
VIC,Kennett River,-38.667,143.862,largely unmodified,wave dominated,OTHER,0.01909,,,,0.00919,,0.00634,,0.00305,,0.02245,,,,0,,0,,,,,,,,,,
VIC,Kororoit Creek,-37.859,144.866,extensively modified,tide dominated,TIDAL FLAT/CREEK,,,,,,,,,,,,,,,3.42,346,0.1,1.63,0.64,,0.038,0.513,6.303,2.2,14.5,0.8,Diurnal
VIC,Lake Tyers,-37.859,148.088,largely unmodified,wave dominated,WAVE-DOMINATED ESTUARY,0.30295,7.49772,0.44372,0.83073,1.29182,,1.58591,,,,2.04442,,,1.02248,91.53,572,13.06,22.57,2.39,0.79,0.14,0.905,5.859,3.1,10.4,0.9,Semi Diurnal
